table_name,column_name,foreign_table,foreign_column
products,category_id,product_categories,id
product_variants,product_id,products,id
variant_images,variant_id,product_variants,id
favorites,user_id,users,id
favorites,variant_id,product_variants,id
cart_items,user_id,users,id
cart_items,variant_id,product_variants,id
orders,user_id,users,id
orders,payment_provider_id,payment_provider,id
order_items,order_id,orders,id
order_items,variant_id,product_variants,id
variant_colors,color_category_id,variant_color_categories,id
user_features,user_id,users,id
user_rag_profiles,user_id,users,id
product_variants,main_color_category_id,variant_color_categories,id
variant_tags,variant_id,product_variants,id
variant_tags,tag_id,tags,id
variant_colors,variant_id,product_variants,id
product_items,variant_id,product_variants,id
product_items,seller_id,users,id
product_rag_profiles,product_item_id,product_items,id
product_categories,parent_id,product_categories,id
user_interactions,user_id,users,id
user_interactions,product_id,products,id
user_interactions,variant_id,product_variants,id